time,result,x,y,Year,Month,Day,d_0,d_1,d_3,d_4,o_0,o_1,o_3,o_4,s_0,s_1,s_3,s_4,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2583.0,1,28.0,12.0,2009,10,27,0.0,1,2.0,2.0,0.0,3,2.0,0.0,0.0,0.0,1.0,0.0,36,75.0,75.0,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4
2566.0,-1,29.0,10.0,2009,10,27,0.0,1,2.0,2.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,32,57.0,57.0,31.1,6.9,13.0,0.531,0.0,0.1,0.25,6.9,12.8,0.534,0.532,1.9,2.3,0.841,1.4,7.1,8.5,2.5,1.1,1.2,1.6,2.2
2548.0,-1,13.0,28.0,2009,10,27,1.0,3,1.0,0.0,0.0,1,2.0,2.0,0.0,0.0,1.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2535.0,1,38.0,26.0,2009,10,27,1.0,2,1.0,1.0,0.0,2,2.0,1.0,0.0,1.0,0.0,0.0,22,80.0,80.0,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4
2508.0,1,20.0,12.0,2009,10,27,1.0,2,1.0,1.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,36,75.0,75.0,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4
2490.0,1,26.0,10.0,2009,10,27,0.0,5,0.0,0.0,1.0,2,1.0,1.0,0.0,1.0,0.0,0.0,22,80.0,80.0,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4
2482.0,-1,19.0,12.0,2009,10,27,1.0,2,1.0,1.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,26,81.0,81.0,35.0,6.5,13.9,0.467,2.3,5.2,0.436,4.2,8.7,0.486,0.548,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7
2476.0,1,40.0,26.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,31,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
2447.0,1,42.0,35.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,1.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2432.0,1,25.0,6.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,32,57.0,57.0,31.1,6.9,13.0,0.531,0.0,0.1,0.25,6.9,12.8,0.534,0.532,1.9,2.3,0.841,1.4,7.1,8.5,2.5,1.1,1.2,1.6,2.2
2421.0,1,25.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2399.0,-1,41.0,14.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,33,65.0,65.0,27.2,5.3,11.1,0.472,0.2,0.6,0.385,5.0,10.5,0.477,0.483,2.1,2.7,0.799,2.4,5.1,7.5,1.0,0.4,1.3,1.4,2.8
2389.0,-1,6.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,34,66.0,63.0,32.2,4.6,10.9,0.419,1.7,4.8,0.354,2.9,6.1,0.471,0.498,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0
2377.0,1,35.0,30.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,34,66.0,63.0,32.2,4.6,10.9,0.419,1.7,4.8,0.354,2.9,6.1,0.471,0.498,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0
