Year,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,Year
2003,1.56637669345,0.42710429338,3.66743373394,0.23857865998,0.320479617579,0.744442538288,1.18224362416,12.5074626866,1.60167596919,1.80495535343,0.409112867647,4.41187627223,0.891697028712,0.7117698032,1.25278850648,41.6865671642,12.776119403,14.1765610726,0.759371439196,1.50172711476,4.74018639556,0.489507409606,0.963199107625,2003
2004,1.49770179865,0.452991385275,3.30624786107,0.213745304615,0.310088836598,0.689303449165,0.980295493306,16.8285714286,1.57074399731,1.71144710327,0.428338161715,3.99555131024,0.862964747177,0.68619156892,1.25761490852,40.6285714286,12.9142857143,13.5304674912,0.762448028726,1.56609950901,4.49960425832,0.463300443711,0.799129093467,2004
2005,1.31735430424,0.459574324263,2.86646628128,0.250732715788,0.327158055172,0.766396277957,0.940068175695,9.34117647059,1.38999534634,1.56808702003,0.431639511394,3.63286255924,0.809017863041,0.72579782284,1.11466008519,38.5529411765,7.75294117647,12.2867500566,0.618064508989,1.42862057423,4.19592461889,0.366780005684,0.749358841424,2005
2006,1.28017338617,0.443123594329,2.88897590323,0.263104470043,0.335468574473,0.78428946871,0.79174043297,11.6,1.3766742584,1.54327785621,0.420137860989,3.67326537194,0.790966382473,0.685248047634,1.1542774696,40.2125,6.625,12.4300424123,0.639199293619,1.38259288149,4.14062656494,0.388436477913,0.713521401185,2006
2007,1.65307254597,0.458382609105,3.60631601884,0.214725334767,0.296769513879,0.723542428469,0.889721679049,15.984375,1.7199669655,1.86779788074,0.431376199354,4.32985844731,0.933238259981,0.723571395239,1.28976665761,40.3125,11.03125,13.7823884505,0.813321943287,1.37911944736,4.88355935623,0.386868220515,0.76145484614,2007
2008,1.95085057945,0.472364526559,4.1299684243,0.344659996311,0.351227060154,0.981302511715,1.11930959952,22.6290322581,1.85684759505,2.29551057576,0.449107590753,5.11127093601,1.16234529949,0.747538134568,1.5548976644,49.2258064516,18.7096774194,15.7182817402,0.897200282568,1.65903401812,6.09802644732,0.462495265835,0.913012224631,2008
2009,1.96019111612,0.473728636856,4.137793166,0.446203552381,0.362188156635,1.2319661596,1.33654964041,15.2068965517,1.78036199572,2.4063946685,0.44813827261,5.3697593256,1.09413023196,0.738268969824,1.48202115582,51.5517241379,14.724137931,15.7659522851,0.738609884422,1.47851629246,6.35312312135,0.498310799552,0.937028941405,2009
